target_coverage,actual_coverage,selective_acc,selective_risk,expected_cost,confirmation_rate,threshold,method
1.0,1.0,0.5333333333333333,0.4666666666666667,2.3333333333333335,0.0,inf,Full HAB
0.9,0.8888888888888888,0.5,0.5,2.3333333333333335,0.1111111111111111,0.47542518377304077,Full HAB
0.8,0.8,0.5277777777777778,0.4722222222222222,2.088888888888889,0.2,0.4754127860069275,Full HAB
1.0,1.0,0.5333333333333333,0.4666666666666667,2.3333333333333335,0.0,inf,w/o World Model
0.9,0.8888888888888888,0.5,0.5,2.3333333333333335,0.1111111111111111,0.47547605633735657,w/o World Model
0.8,0.8,0.5277777777777778,0.4722222222222222,2.088888888888889,0.2,0.4754635691642761,w/o World Model
1.0,1.0,0.5333333333333333,0.4666666666666667,2.3333333333333335,0.0,inf,w/o Small-World Loss
0.9,0.8888888888888888,0.5,0.5,2.3333333333333335,0.1111111111111111,0.4754253923892975,w/o Small-World Loss
0.8,0.8,0.5277777777777778,0.4722222222222222,2.088888888888889,0.2,0.4754127264022827,w/o Small-World Loss
1.0,1.0,0.5333333333333333,0.4666666666666667,2.3333333333333335,0.0,inf,w/o Neural-Cognitive Align
0.9,0.8888888888888888,0.5,0.5,2.3333333333333335,0.1111111111111111,0.47542163729667664,w/o Neural-Cognitive Align
0.8,0.8,0.5277777777777778,0.4722222222222222,2.088888888888889,0.2,0.4754089117050171,w/o Neural-Cognitive Align
1.0,1.0,0.5333333333333333,0.4666666666666667,2.3333333333333335,0.0,inf,Dense Neural Graph
0.9,0.8888888888888888,0.525,0.475,2.2222222222222223,0.1111111111111111,0.4754236340522766,Dense Neural Graph
0.8,0.8,0.5,0.5,2.2,0.2,0.475413978099823,Dense Neural Graph
